id,source,title,company,location,base_location,work_mode,contract_type,language_required,score
08bbf4379ad59d3ad9f4,HeadHunter,Head of Production / Art Director в Fashion-бренд ARLIGENT,ОООАрли Деним,"Москва, Russia","Москва, Russia",on-site,permanent,russian,1
090ffbab7845999a4564,HeadHunter,Product Owner / Delivery Lead (SberCIB Terminal),Сбер для экспертов,"Москва, Russia","Москва, Russia",on-site,permanent,russian,1
0a2e0531956c312f4235,HeadHunter,Head of Product Growth/Head of Growth,ООООнлайн-школа Фоксфорд,"Москва, Russia","Москва, Russia",on-site,permanent,russian,1
0f7834c78cf229243ff9,HeadHunter,Владелец продукта Тендерный конвейер/Product Owner Tender Office,VVP Group,"Химки, Ленинградская улица, вл39с5, Russia","Химки, Ленинградская улица, вл39с5, Russia",on-site,permanent,russian,1
14099a5fcfff9a12ed95,HeadHunter,Владелец продукта (Product Owner),Московский Кредитный Банк. Руководители,"Москва, Russia","Москва, Russia",on-site,permanent,russian,1
04ac8a2c32a4a9fe5caf,Greenhouse,"Staff Product Manager, Platform Operations",Robinhood,"Menlo Park, CA; New York, NY",United States,on-site,permanent,english,2
0805a9bbc71662fb2b8f,Greenhouse,Staff Product Manager,Brex,"Seattle, Washington, United States",United States,on-site,permanent,english,2
0b46f68d46205c8535e7,Greenhouse,"Product Manager, Terminal Device Expansion",Stripe,San Francisco,San Francisco,on-site,permanent,english,2
04058e5f0f0a3e618752,Jobup,Product Owner (m/w/d),Rocken®,Luzern,Luzern,on-site,permanent,unknown,
096fd451c7ddf82a796b,Jobup,Product Manager Prévoyance (h/f/x) - 80-100%,Vaudoise Assurances,Lausanne,Lausanne,on-site,permanent,french,
0a66ebf4f05a790804a6,Jobup,Head of Product Experts,Sparta Commodities SA,Genève,Genève,on-site,permanent,french,
14d4fc33de1fed5e6d17,Workable,Software Engineer,Crypto Finance AG,"Zürich, Switzerland","Zürich, Switzerland",on-site,unknown,english,
05105e303fc2708d66fe,Lever,Inside Sales Manager  - Cloud Services,Impossible Cloud (ICN),Hamburg,Hamburg,on-site,permanent,english,
a5c9d9d0ed32b2c1dce8,Web3Career,Product Owner,Voto Consulting LLC,"Jersey City, United States","Jersey City, United States",on-site,permanent,english,2
