id,source,title,company,work_mode,contract_type,language_required
30c39205413bc52e49b2,LinkedIn,Product Owner for Customer Relationship Research & Measurement (m/f/d),Coopers Group AG,on-site,contract,english
313cd049f8e6071b4f0e,LinkedIn,Product Owner – Data & AI Platform,Flawless Workflow,on-site,permanent,unknown
3190965614784d06126f,Greenhouse,"Product Lead, Data Products",Stripe,on-site,permanent,english
3194cb853d364a541dac,Greenhouse,"Product Manager, Global Expansion (MENA)",Stripe,on-site,permanent,english
31a1d08c3913740ac1c5,Indeed,Product Owner Digital Senior,Schneider Electric,on-site,permanent,french
31c7ca88c28b6a43146a,Indeed,Consultant(e) Product Owner Banque H/F,MC2I,on-site,permanent,french
3227d27ff013f242f32f,LinkedIn,"Front Arena Product Owner, Zürich, 100% (f/m/d)",Julius Baer,on-site,permanent,multiple
324119d961f243e0ee49,Greenhouse,"Product Manager, Support Products - Support Experience",Stripe,on-site,permanent,english
32649fc56403d919fbe9,Indeed,Head of Product Delivery – Reinsurance,SCOR,on-site,permanent,english
336e3223e637025a1565,HeadHunter,Technical Product Manager,UZUM TECHNOLOGIES. IT,on-site,permanent,russian
33b40bd23cbd255b2d83,Indeed,Product Manager - Médical & Prévention F/H,PADOA,on-site,permanent,french
33ef3603b7aab4d9d467,LinkedIn,Head of Product Management & Marketing,MADx – Macro Array Diagnostics GmbH,on-site,permanent,english
342c84306a33f4da77bf,Lever,Commercial High Potential Program (Spain),Impossible Cloud (ICN),on-site,permanent,english
34baecc6ca4e32e79a2e,LinkedIn,Product Owner H/F,Inetum,on-site,permanent,french
358888fa6640d15769f5,LinkedIn,Group Product Manager,Xplor Technologies,on-site,permanent,english
35faf44496e648360eea,HeadHunter,Product Owner (Video Management System/Software),АОЭрВиАй Групп,on-site,permanent,russian
35fe3f450b4c97a32d3a,Indeed,Product Owner: Vodapay Contextual Marketing and Commercial Campaign Management,VodafoneThree,on-site,permanent,english
36131014923ad547d517,Indeed,Business Product Lead,Marie Curie,on-site,permanent,english
361e93a8317bd0671966,LinkedIn,Energy Product Manager (w/m/d),VREY,on-site,permanent,german
3622fde4f3107b333719,LinkedIn,Artificial Intelligence Product Owner & Quality Assurance Consultant,World Meteorological Organization,on-site,contract,english
36cc97c7a8d229a5ef1f,LinkedIn,Inhouse Product Owner SAP Security & Authorization (all genders),msg,on-site,permanent,german
36e2eea537c579b936a1,Indeed,Product Owner Senior Data & IA (H/F),Craftman data,on-site,permanent,french
3723aee0b11a8df7178c,Indeed,Senior Data Management Professional - Data Product Owner - Environmental Regulations,Bloomberg,on-site,permanent,english
37746d551a4dd6061e11,HeadHunter,Product Owner / Владелец Продукта,Клируэй Текнолоджис,on-site,permanent,russian
37cef068db95f4c4be38,LinkedIn,Product Lead (Healthcare),Kainos,on-site,permanent,english
387cb292a0f8abbf8082,Indeed,Product Owner Data Retail | Direction Pricing (IT) / Freelance,Craftman data,on-site,freelance,french
38881aed479da8efbb79,HeadHunter,Senior Retention Product manager,Overgear,on-site,permanent,russian
38ed644c1eb1c54fe45b,HeadHunter,Middle Product Manager,Crezu,on-site,permanent,russian
3991e8ef1792f1138884,Greenhouse,"Product Manager, E-Invoicing",Stripe,on-site,permanent,english
39e662e417d772f8bd83,LinkedIn,Head of Product Development | Accessories,On,on-site,permanent,unknown
39fa35b91c59ed4e7066,LinkedIn,Senior Product Manager (IT),HUBCYCLE,on-site,permanent,english
3ae62b0a57b2eab4c42b,LinkedIn,Product Owner - OmniChannel Services (m/w/d),Schwarz Digits,on-site,permanent,german
3b1757951da56de5795a,LinkedIn,Product Manager – Infrastructure (IaaS / Sovereign Cloud / OpenShift),PHOENIQS,on-site,permanent,english
3b5950c97904fcc5edba,LinkedIn,Product Manager AIAD,COS,on-site,permanent,english
3b666493b14c8d82f69a,HeadHunter,Producer / Product owner,ТООMadOut Games,on-site,permanent,russian
3b6e8e1b170c82bada24,LinkedIn,On Boarding Product Owner Lead,AXA Group Operations,on-site,permanent,french
3bfa76e85a66c527f9b2,HeadHunter,Head of Product Marketing (Deputy CMO),UZUM TECHNOLOGIES. Операции,on-site,permanent,russian
3c14fa5e28d7a9f49d24,LinkedIn,(Staff) Product Manager - Growth (f/m/d),bunch,on-site,permanent,english
3c4c06ecbd481680bccf,Jobup,Microsoft 365 Product Owner (m/w/d),Rocken®,on-site,permanent,german
3c93bcccd3d143d46f3b,Indeed,Head of Product Marketing,loveholidays,on-site,permanent,english
3cb4776faac46985b7df,LinkedIn,Head of Product – Agentic Offerings (Platform & Payments),commercetools,on-site,permanent,english
3d364fe005bda271eabd,LinkedIn,Head of Product Management & Marketing (f/m/x),MADx – Macro Array Diagnostics GmbH,on-site,permanent,english
3d3905ade43dd3f7a6e0,LinkedIn,Group Product Manager Cloud,Leaseweb,on-site,permanent,english
3d817909a184cf545255,Indeed,Product Owner - Automation Extended OS,ABB,on-site,permanent,english
3e66977ce3ad7c1eb2b2,HeadHunter,Product Owner,Домклик,on-site,permanent,russian
3f4e0931082d4b23734f,LinkedIn,PRODUCT MANAGER,Marvelsoft,on-site,permanent,english
40715645a4c186478d5c,Lever,In-House Legal Counsel,Impossible Cloud (ICN),on-site,permanent,english
407e712c18e847cb9fd4,LinkedIn,Director of Product Testing,On,on-site,permanent,english
40ff6c6672a4d641fd2e,LinkedIn,Head of Product Management,GreenFlux,on-site,permanent,english
417b7c43e68bfede069f,CryptoJobsList,Kinexys Digital Assets- Product Manager- Vice President,JPMorgan Chase & Co,on-site,permanent,english
41bfabfd17ec656f1ff0,Indeed,Senior Product Manager - Payouts,Worldpay,on-site,permanent,english
42062d66c21538814e4c,Indeed,Product Owner Data F/H,Groupe SII,on-site,permanent,french
421a70a28c569e13a471,LinkedIn,Product Manager – Business Applications,Dataiku,on-site,permanent,english
4251df3058a1b4d49697,Jobup,Senior Product Owner (m/w/d),Rocken®,on-site,unknown,unknown
4270cd586dee3a267226,HeadHunter,Head of Product (бытовая химия),ОООМаркетплейс Консалтинг,on-site,permanent,russian
42a6503dd76107dc1e41,LinkedIn,Product Owner,"InfoIMAGE, Inc.",on-site,permanent,english
42f010582855757d4e6b,Indeed,Product Manager III,Swiss Federal Administration,on-site,permanent,multiple
42fee207394e55ff2875,Workable,Intern - Application Management,Crypto Finance AG,on-site,internship,english
4310072ad72583eff975,LinkedIn,Product Owner,Persistent Systems,on-site,permanent,english
439184d614dd71d42b7d,HeadHunter,Product manager/ менеджер продукта (домашняя одежда),KuchenLand,on-site,permanent,russian
43dcfbb95bbf6dd550cf,HeadHunter,AI Product manager,билайн: ИТ,on-site,permanent,russian
43f96b8cda9fc3ea56a9,Indeed,"Product Manager, EU Customer Experience Improvement",Amazon.com,on-site,permanent,english
45a5cf2e5b675fdae28f,LinkedIn,Lead Product Manager,Backbase,on-site,permanent,english
46b4a499759eab268e39,Indeed,AI-Consultant & Product Owner (m/w/d),just experts GmbH,on-site,permanent,german
46cbb692ad1b78ad3e5c,LinkedIn,Product Owner / Business Analyst 80-100% (m/w/d),zvoove,on-site,permanent,german
471aadeb47735446c8be,HeadHunter,IT Product Manager / R&D Manager,MAREE,on-site,permanent,russian
4725904b5446397de1aa,LinkedIn,Product Owner (Operational Products),Migros One,on-site,permanent,unknown
472fe43758089f7ab535,LinkedIn,Product Owner,Proclinical Staffing,on-site,permanent,english
481edc116dd5a0a4a0d7,Indeed,Product Manager,Pelico,on-site,permanent,english
484caf375a1a9d7ac02a,LinkedIn,"Director of Product, Tax Platform (Bangkok-based)",Agoda,on-site,permanent,english
488cc53ea6e21a7e6a74,HeadHunter,"Менеджер по продукту / Продакт-менеджер / Product manager (фармацевтика, направление Rx)",ЗАОКанонфарма продакшн,on-site,permanent,russian
48b9078fe35a66aea0d8,HeadHunter,Head of Product (Прайм),Сбер для экспертов,on-site,permanent,russian
48d107d13f03046a362e,Indeed,Product Owner Loyalty (all genders),DYMATRIX GmbH,on-site,permanent,german
49442e3556eea29b5494,LinkedIn,Product Owner Data & Analytics,CowManager,on-site,permanent,unknown
4952b0d0955000b96353,LinkedIn,Product Manager (m/f/d),iGaming Centre,on-site,permanent,english
496a9f7c5fe7a6a2916e,HeadHunter,Менеджер по продукту/R&D‑специалист/Product Manager (уходовая косметика),Skinjestique,on-site,permanent,russian
4989d5eb67a2f76e5915,LinkedIn,Founding Product Lead,Reli,on-site,permanent,english
49fb25dcc39f286a3384,Indeed,Senior Product Owner – NetSuite,Lovehoney Group,on-site,permanent,english
4a1d48757012c8b81a3e,HeadHunter,Владелец продукта (Product owner),FEDRS,on-site,permanent,russian
4ad8fed33f7828809418,LinkedIn,Agronomy Product Manager,Weenat,on-site,permanent,french
4af50d1967cd008e1940,Greenhouse,"Product Manager, Mobile",Fireblocks,on-site,permanent,english
4afb566c2e40c5791206,Lever,Product Manager / Director – GPU & AI Services,Impossible Cloud (ICN),on-site,permanent,english
4b96c1e10f2308d8f83e,LinkedIn,Lead Product Manager H/F,Hubvisory,on-site,permanent,french
4baeeaa26992302acb06,LinkedIn,Senior Communications Digital Product Manager,FIFA,on-site,permanent,multiple
4bbc0947f8c4476ae2d5,LinkedIn,Product Owner Frontend Development (f/m/d),Fabasoft,on-site,permanent,german
4bd2459086b3a7a24f72,HeadHunter,Product Manager /Менеджер по продукту видеонаблюдения,ОООВидос Инжиниринг,on-site,permanent,russian
4c28137cef6469a6e1da,Indeed,Technical Product Manager,Booking.com,on-site,permanent,english
4c3d8108623ae5a2787c,Indeed,Product Manager - Deployment & Licensing (m/f/d),Riedel Communications,on-site,permanent,english
4c7d86756b1a93f39d3b,LinkedIn,Senior Product Owner,A2Z-CM N.V.,on-site,contract,unknown
4cb268dcb38946e7f7e1,Indeed,Group Product Manager Bare Metal,Leaseweb,on-site,permanent,english
4d7619379cc098773b61,Indeed,Technology Product Owner,Audley Travel,on-site,permanent,english
4d8601c784886bc8afc1,LinkedIn,PRODUCT OWNER (H/F),SOLUTEC,on-site,permanent,french
4f1e946ea4fc2a0c02c5,Indeed,"Product Owner, Experimental Data Workflow",GSK,on-site,permanent,english
4fc89f53225012ceb110,Indeed,Product Owner Web (a) 60 %,CH Media Holding AG,on-site,permanent,german
5046007aa17cfa748971,LinkedIn,Product Owner Conversational AI 80 % - 100 % (w/m/d),Luzerner Kantonalbank,on-site,permanent,german
50fbaf241d59a450a655,HeadHunter,"Product Manager / R&D Manager (Cosmetics, China)",MAREE,on-site,permanent,russian
518d50b6fa6e1ab7b945,Indeed,Product Manager - 12-month FTC,CFC,on-site,contract,english
51bf6b58014338e89e7a,HeadHunter,Руководитель контрактного производства/Head of production the Knocked Down (KD) - г. Калининград.,JETOUR,on-site,permanent,english
51fde708d9002feccd02,LinkedIn,Senior Product Manager – AI,Nexthink,on-site,permanent,multiple
52051c938976fcdf5770,Greenhouse,"Senior Product Manager, Fireblocks Trust Company",Fireblocks,on-site,permanent,english
5291ce899a581055df70,Indeed,Principal Product Manager - Pricing Product (all genders),Zalando,on-site,permanent,english
530c13f2ec31823c26da,Greenhouse,"Director of Product, Growth/AI",Brex,on-site,permanent,english
5341479ebfb156bfb4fe,LinkedIn,Product Manager,Omya,on-site,permanent,multiple
5391e6136e7ffe200c42,HeadHunter,Product Owner / Project Manager (FinTech),Кадровый центр «ПРЕЗИДЕНТ»,on-site,permanent,russian
54913dabcaa8bbb8ab92,LinkedIn,Business Product Owner,Bluemega,on-site,permanent,french
54a6df0bcb1b86089a83,Greenhouse,Senior Product Manager - Wallet,Fireblocks,on-site,permanent,english
54ca32e39fc5ae7a979f,HeadHunter,Менеджер по продукту (Product Manager),АОЩербинский лифтостроительный завод,on-site,permanent,russian
5524f5da33a23578d624,Indeed,Senior Product Manager,Taylor and Francis,on-site,permanent,english
5581ba44883d49d872c8,Indeed,Senior Product Owner for George (all humans),Erste Digital,on-site,permanent,english
559c8e95594db60befa7,Greenhouse,"Product Manager, Revenue and Financial Automation ",Stripe,on-site,permanent,english
56fe6ef80cc2d089fc6b,LinkedIn,Product Manager Defense (m/f/x),Liebherr Group,on-site,permanent,multiple
5724b17412d637d85b82,Indeed,Data Product Manager,Leadinfo,on-site,permanent,english
574119bea258e0439159,LinkedIn,Principal Product Manager - Identity,Adyen,on-site,permanent,english
575b9762ec3e143922cc,HeadHunter,Product Manager (Delivery-фокус),МТС Банк. Головной офис,on-site,permanent,russian
57e4acffeb331b524ae8,LinkedIn,System Product Manager,Supermicro,on-site,permanent,english
586a56c04e4bee4ffce1,Greenhouse,"Senior Product Manager, Money Movement",Robinhood,on-site,permanent,english
5877c515d0ec75109408,LinkedIn,Product Manager,La Fourche,on-site,permanent,french
58b1d83b6fc1570ac767,HeadHunter,Product Lead Director / Продуктовый директор (Cтрахование),ОООВИРТУ СИСТЕМС,on-site,permanent,russian
58fe6f48acc61eb805af,Jobup,Product Owner Microsoft 365 & Copilot (h/f/x) - 80-100%,Vaudoise Assurances,on-site,permanent,french
5901af06e2d3a26967f7,HeadHunter,Data Product Manager (FMCG),ARK,on-site,permanent,russian
5928694fc47fa8749296,LinkedIn,Senior Product Manager,Userlane,on-site,permanent,english
5932cd9cd9308cbb7eb9,HeadHunter,AI Product Manager (Unit Economics / AI Products),PravoTech,on-site,permanent,russian
597a6c452258503c2f6a,LinkedIn,Product Manager - Moving24,skydreams,on-site,permanent,english
5a43e3328b60502580b0,LinkedIn,Senior Product Owner,BtcTurk | Teknoloji,on-site,permanent,unknown
5a5820a996d71de70b37,Indeed,Product Owner Data H/F,CONSORT Group,on-site,permanent,french
5ace2a604334c99da3dc,Indeed,Product Owner Application Mobile en apprentissage (F/H),Groupe Les Echos Le Parisien,on-site,contract,french
5ba47c2778f629a3838f,LinkedIn,Product Owner (m/w/d),CompuGroup Medical SE & Co. KGaA,on-site,permanent,german
5bbbb6af6a405b0475a8,LinkedIn,Lead Product Manager,Numan,on-site,permanent,english
5be7d31e3b5cb184e2a3,HeadHunter,Head of Product (Топливный B2B-сервис),Каргономика,on-site,permanent,russian
5c14a74ec88146a57f9c,Jobup,Product Owner Client and Employee Channels 100% (f/m/d),Bank Julius Bär & Co. AG,on-site,permanent,german
5c24f3aa93e16cf86894,Jobup,Product Owner - AI Service and Support,SAP (Schweiz) AG,on-site,permanent,english
5c27031e69d1334c48c0,LinkedIn,Technical Product Manager - SDK,Digital Asset,on-site,permanent,english
5c5af47753e03970bcde,LinkedIn,Product Owner (immediate or 1 week Joiners),PRACYVA,on-site,permanent,english
5d6c4700298aa0425267,LinkedIn,Product Owner (w/m/d),Galenica,on-site,permanent,multiple
5e1483f4468fa8d19b04,HeadHunter,Head of Product,ANCOR,on-site,permanent,russian
5e67d86bcc1cad1a79a4,HeadHunter,Руководитель продуктового направления / Head of Product образовательной платформы,ИПШерстобитова Виктория Александровна,on-site,unknown,russian
5e97685a0e46f6fb305a,Indeed,"Sr Product Manager Technical, EU INTech - Selection Excellence Technology (SET)",Amazon.com,on-site,permanent,english
5f6d963020a64cebfef9,LinkedIn,Product Owner m/w/d (8057),FLYERALARM,on-site,permanent,german
5fc1f8259edba9ecd75b,Indeed,Product Owner Data (IT) / Freelance,EMGS Group,on-site,freelance,french
5fc7e4f9f80cfcd07c91,LinkedIn,AI Product Owner,Devoteam,on-site,permanent,french
601edd1c3fbd97078d83,LinkedIn,Product Owner Embedded Systems,EasyMile,on-site,permanent,multiple
6032c0eb74b2da28d58b,LinkedIn,"Product Manager, HR Data Platform (F/H/NB)",Ubisoft,on-site,permanent,french
6041c552a81cee69f90d,Indeed,"Director of Product Management, Platform (d/f/m)",TaxFix,on-site,permanent,english
609539270887e82811d8,LinkedIn,Senior Product Manager - Split Payments,Adyen,on-site,permanent,english
60f436e413ae608b6dee,LinkedIn,Product Lead - Platform (m/f/x),MYNE,on-site,permanent,english
61353073be6e970fc2b4,LinkedIn,Product Manager,Eneve,on-site,permanent,english
613b68d590ce18d9b096,Indeed,Product Owner,Swiss Federal Administration,on-site,permanent,german
61cba906ffb41d2ca51f,Ashby,Quant (DeFi),Arrakis Finance,on-site,permanent,english
61e5e18f2e3913efba69,LinkedIn,AI Product Manager,Modjo,on-site,permanent,french
625a36c17b0a91d75888,HeadHunter,Product Owner/Team Lead агентских кабинетов Facebook,ОООТЛ Групп,on-site,permanent,russian
627d9151c8f5aaf4243a,LinkedIn,Product Manager - Hotels Platform,Get-e,on-site,permanent,english
62873a00c5f4235120ea,HeadHunter,Продакт-менеджер (Product Manager),ОООГЕТ ЭКСПЕРТС РЕКРУТМЕНТ,on-site,permanent,russian
62afdaad103e57dba577,LinkedIn,Product Manager,Audi UK,on-site,permanent,english
62bdf16dfa02eee48e40,LinkedIn,Senior Product Manager (Bangkok-based),Agoda,on-site,permanent,english
63489b2156c55194ecaa,Indeed,Principal Product Manager (Airlines / Travel / Consulting),Thoughtworks,on-site,permanent,english
63eb4409b9247ee29e4e,LinkedIn,Senior Product Manager,numi,on-site,permanent,english
646ebf42ec28f5865ec6,LinkedIn,Product Manager - Search & Discovery,Suitsupply,on-site,permanent,english
64cecb804e0b03b1426b,LinkedIn,Head of Product,Barrington James,on-site,permanent,english
65320381c67cfa48b692,Indeed,Product Manager,ELMOgroup,on-site,permanent,english
6635598d6282ee179c34,Indeed,"Senior Product Manager, AI Agents",Zendesk,on-site,permanent,english
668a1cc9b58cb2d70119,Indeed,Head of Product Service,Voortman Steel Machinery,on-site,permanent,unknown
66efaf0ebcedf9e3f582,Indeed,Consultante - Consultant Product Owner IAM,Capgemini,on-site,permanent,french
673be0fadf4e45cc73f4,Lever,Commercial High Potential Program (DACH),Impossible Cloud (ICN),on-site,permanent,english
67a4aa8d839e7afc831e,Greenhouse,Group Product Manager,Brex,on-site,permanent,english
